time,open,high,low,close,upperBand,lowerBand,lowerBand,centralMedianLine,upperMedianLine,lowerMedianLine,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Volume,VX30 synthetic contract,SVXY Contango Daily Roll,Plot,VIX M1,VIX M2,VVX30,VX30 synthetic contract,VIX1D,VIX9D,VIX3M,VIX spot,VVIX,VXM1/VXM2,VXM1/VXM2,RSI on VX30 ,RSI on VIX9D,RSI on VIX spot,RSI on VVIX spot,RSI on VIX1D,RSI on VXM1,RSI on VXM2,RSI on VIX3M,RSI on VX30 ,RSI on VIX9D,RSI on VIX spot,RSI on VVIX,Plot,Plot,Plot,Δ% (COR1M vs COR3M),Δpts (COR1M − COR3M),COR1M,COR3M,COR6M,OnBalanceVolume
2021-07-12T19:30:00+02:00,16.21,16.33,16.21,16.25,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,13.77,NaN,16.24,111.08,NaN,NaN,NaN,49.93768642464249,48.86373680399883,49.13437238558967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.67,NaN,NaN
2021-07-12T20:30:00+02:00,16.24,16.32,16.23,16.26,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,13.81,NaN,16.25,111.48,NaN,NaN,NaN,50.023475994803185,48.89909056352866,49.51548843859918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.93,NaN,NaN
2021-07-12T21:30:00+02:00,16.27,16.39,16.14,16.17,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,13.52,NaN,16.16,111.59,NaN,NaN,NaN,49.395834359682105,48.58987967032614,49.62165048972701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.57,NaN,NaN
2021-07-13T15:30:00+02:00,16.47,16.6,16.02,16.09,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,13.72,NaN,16.1,111.13,NaN,NaN,NaN,49.83973881410278,48.38128654349556,49.17934849606174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.79,NaN,NaN
2021-07-13T16:30:00+02:00,16.08,16.22,15.96,16.03,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,13.43,NaN,16.02,112.23,NaN,NaN,NaN,49.199718597106305,48.09971081917452,50.263567495024525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.19,NaN,NaN
2021-07-13T17:30:00+02:00,16.04,16.16,15.94,16.15,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,13.57,NaN,16.14,112.07,NaN,NaN,NaN,49.51977688361104,48.55899169931948,50.104551395019584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.6,NaN,NaN
2021-07-13T18:30:00+02:00,16.16,16.67,16.05,16.53,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,14.21,NaN,16.54,113.04,NaN,NaN,NaN,50.964179220762404,50.06542035819194,51.064446727444874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.33,NaN,NaN
2021-07-13T19:30:00+02:00,16.51,17.07,16.51,16.64,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,14.35,NaN,16.65,113.67,NaN,NaN,NaN,51.276080412014494,50.473336321107375,51.68189628305512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.34,NaN,NaN
2021-07-13T20:30:00+02:00,16.63,17.1,16.62,17.02,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,14.88,NaN,17.03,115.62,NaN,NaN,NaN,52.447163431185956,51.8626559634389,53.53769812277189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.27,NaN,NaN
2021-07-13T21:30:00+02:00,16.99,17.23,16.71,17.12,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,14.98,NaN,17.11,116.4,NaN,NaN,NaN,52.66669463891073,52.15165490493456,54.256437651846156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.53,NaN,NaN
2021-07-14T15:30:00+02:00,16.06,16.4,15.95,16.36,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,13.57,NaN,16.37,117.24,NaN,NaN,NaN,49.379357662923965,49.34885082264724,55.0227541703689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.44,NaN,NaN
